Size,Method,Time(ms)
16,CPU,0.001
16,Naive GPU,1.038
16,ShMem GPU,0.744
16,cuBLAS,658.330

32,CPU,0.012
32,Naive GPU,0.857
32,ShMem GPU,0.833
32,cuBLAS,1.443

64,CPU,0.125
64,Naive GPU,0.731
64,ShMem GPU,0.747
64,cuBLAS,1.130

128,CPU,1.258
128,Naive GPU,0.773
128,ShMem GPU,0.744
128,cuBLAS,1.173

256,CPU,12.207
256,Naive GPU,1.089
256,ShMem GPU,0.952
256,cuBLAS,1.546

512,CPU,150.548
512,Naive GPU,1.967
512,ShMem GPU,2.401
512,cuBLAS,2.221

1024,CPU,1215.134
1024,Naive GPU,6.841
1024,ShMem GPU,7.387
1024,cuBLAS,3.749

2048,CPU,34971.941
2048,Naive GPU,182.123
2048,ShMem GPU,44.824
2048,cuBLAS,9.663
